sentiment,review_body,product_category
-1,Why do designers keep making crop tops??!! i can't imagine this would be flattering on anyone  especially someone average height and well endowed on top. i looked like a football player. the pattern and fabric are gorgeous  so if you are like 4' tall and super tiny and can fit xxs this may work? i am between a 6-8 and fit a small and it was huge on me and almost was bigger at the bottom than the top. such a weird cut. there is a cami underneath so if it rides up that will show but that is so 80s,Blouses
-1,"The shirt is absolutely cute looking. but that's just that....looks. i'm 5'2"" size 6 & wears m to l top. i tried on the medium in the store  it was rather flowing. i liked it. but i didn't like how it fit on the underarm area. it hung very low. so i ordered a petite m. still the same. plus the store the lighting was dark so i didn't realize how see through the shirt was too. had to return it.",Blouses
-1,Could not wait for this to come and so disappointed.  first of all  it's not a happy orange  it a darker rust.  second  it is huge.  fits in the shoulders and is super comfy and cute but would be a dynamite maternity top.  you could go to term in this blouse!  back it goes.  so sad.,Blouses
-1,One of the worst shirts i've tried in a long time. i don't know how they managed to give it a little shape on the model. in person it is sleeveless  huge  short and wide.,Blouses
-1,Why is it so difficult to find a shirt that doesn't expose half of my bra if i lift my arm?     this is cute (beyond the arm hole issue) but overpriced. going back.,Blouses
-1,Very sheer inexpensive material. even on sale i'm returning it,Blouses
-1,I was planning on wearing this at the office but it looks like a maternity blouse. not flattering at all. i loved the concept.. silky  loose fitting  professional.. but they didn't succeed. its a big mess. return.,Blouses
-1,If i stopped eating for a couple of months or jumped into a time machine and set the dial for 1990 i would really enjoy this beautifully made delicate blouse. the problem area is evident looking at the photo --the tiny tight fitted gorgeous bodice. i will keep this piece becasue i love it so and the apocolypse is apparently imminent and i have hardly any food in the house.,Blouses
-1,Very disappointed the back of this blouse is plain  not as displayed.,Blouses
0,I had high hopes for this top  as it looked great online. unfortunately it was much more ruffly in person and not my style at all. it was a lot of fabric and poofed out too much -- reminded me of a child's top. sad to return it!,Blouses
0,I thought the quality of the fabric was good and liked the idea of wearing it  either with opening in front or back. it was a little larger then i was expecting and i wish it had a closure  (hook and eye or snap) at the top. it has three places in the back to tie together and when i tied them in a bow they came loose easily. overall glad i bought it.,Blouses
0,I really like the style of this top  and it's delicate but well made  but i wish it were longer and less boxy. it's nice that it comes with a separate cami to layer  but the cami is very cropped. when i raise my arms you can see a lot of midriff (and the top is see through so a layer underneath is necessary). a longer cami probably wouldn't work because the top is also very short. i'm 5'0'' with an average torso length  and ordered the xxs petite. also  you would have to cut the tag off if you d,Blouses
0,I loved the design of the top! it looks great in person too. i am typically a size 12 top  and i ordered a size l. i could barely get the top on  and once on  it was super tight around my armpit area and waist. i am going to exchange it for an xl and hope that that will fit. the fabric has no give or stretch; it is tight fitting. underneath the ruffles the top looks like a halterneck tank top style.,Blouses
0,So this shirt is adorable. soft  fun  lays nicely...  but you should have your arms amputated and replaced with a barbie's before you put it on.   i don't even have large arms  the medium fit me perfectly  but then like i hulked out the arms and there are now little tears at the seams. this was all very confusing and vexing as this shirt is otherwise perfection.     i mean  i'm not a large? but i guess if i want this shirt  i will need to take it back and get a large  otherwise  it will be sleev,Blouses
0,The shirt was cute. i'm very petite and it ran very wide so didn't fit me well.,Blouses
0,I had reservations about this top based on other reviews  but it looked cute on the model so i took my chances. i have an athletic build--not model-thin  but not dumpy either--and this top made me look very frumpy and matronly. the sleeves were especially unflattering. i purchased it in an ps and might have done better with a pxs.,Blouses
